Date,Open,High,Low,Close,Adj Close,Volume
2023-11-22,22.200001,22.660000,22.000000,22.420000,22.420000,74100
2023-11-24,22.530001,22.850000,22.320000,22.709999,22.709999,45500
2023-11-27,22.420000,22.740000,22.250000,22.379999,22.379999,99900
2023-11-28,22.600000,22.770000,22.100000,22.570000,22.570000,67100
2023-11-29,22.799999,23.030001,22.129999,22.309999,22.309999,97800
2023-11-30,22.360001,22.860001,22.049999,22.590000,22.590000,113400
2023-12-01,22.500000,23.270000,22.450001,23.150000,23.150000,101900
2023-12-04,23.150000,23.660000,23.150000,23.510000,23.510000,85400
2023-12-05,23.309999,23.520000,22.889999,23.430000,23.430000,138800
2023-12-06,23.770000,24.100000,23.530001,23.570000,23.570000,83600
2023-12-07,23.570000,24.580000,23.320000,24.559999,24.559999,134500
2023-12-08,24.500000,25.309999,24.500000,24.910000,24.910000,83900
